b,r,c
"(:Blog {path: /blogs/posts/bhil-art, title: Bhil Art- Uniqueness in Simplicity.})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/santosh-uikey, title: Santosh Uikey})"
"(:Blog {path: /blogs/posts/how-to-start-a-personal-collection-of-indian-folk-paintings, title: How to Start a Personal Collection of Indian Folk Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/santosh-uikey, title: Santosh Uikey})"
"(:Blog {path: /blogs/posts/warli-art-tribal-art-of-india, title: Warli Art- Tribal Art of India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/dhokra, title: Dhokra})"
"(:Blog {path: /blogs/posts/traditional-masks-of-india, title: Traditional Masks of India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/dhokra, title: Dhokra})"
"(:Blog {path: /blogs/posts/arts-and-crafts-of-chhattisgarh, title: Arts and Crafts of Chhattisgarh})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/dhokra, title: Dhokra})"
"(:Blog {path: /blogs/posts/history-of-toys-and-board-games-in-india, title: History of toys and board games  in India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/dhokra, title: Dhokra})"
"(:Blog {path: /blogs/posts/madhubani-paintings-an-enduring-legacy-of-mithila, title: MADHUBANI PAINTINGS: AN ENDURING LEGACY OF MITHILA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/dhokra, title: Dhokra})"
"(:Blog {path: /blogs/posts/symbolism-in-indian-tribal-art-forms, title: Symbolism In Indian Tribal Art Forms})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/dhokra, title: Dhokra})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/dhokra, title: Dhokra})"
"(:Blog {path: /blogs/posts/majuli-mask-painting, title: Majuli Mask Painting})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/dhokra, title: Dhokra})"
"(:Blog {path: /blogs/posts/unfurling-a-world-of-wonder-a-journey-into-bengal-pattachitra, title: Unfurling a world of wonder: A journey into Bengal Pattachitra})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/dhokra, title: Dhokra})"
"(:Blog {path: /blogs/posts/the-art-of-kantha, title: The Art of Kantha})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/dhokra, title: Dhokra})"
"(:Blog {path: /blogs/posts/signature-patterns-in-gond-art, title: Signature Patterns in Gond Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/dhokra, title: Dhokra})"
"(:Blog {path: /blogs/posts/tholu-bommalata-the-puppeteers-of-andhra-pradesh, title: Tholu Bommalata - The Puppeteers of Andhra Pradesh})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/dhokra, title: Dhokra})"
"(:Blog {path: /blogs/posts/the-evolution-of-gond-painting-from-walls-to-paper, title: The Evolution of Gond Painting From Walls to Paper})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/dhokra, title: Dhokra})"
"(:Blog {path: /blogs/posts/why-tribal-art-matters, title: Why Tribal Art Matters})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/dhokra, title: Dhokra})"
"(:Blog {path: /blogs/posts/how-to-start-a-personal-collection-of-indian-folk-paintings, title: How to Start a Personal Collection of Indian Folk Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/dhokra, title: Dhokra})"
"(:Blog {path: /blogs/posts/the-glittering-legacy-of-thikri-art, title: The Glittering Legacy of Thikri Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-uttar-pradesh, title: Art and Craft of Uttar Pradesh})"
"(:Blog {path: /blogs/posts/kishangarh-and-kangra-a-comparitive-study-of-indian-miniature-art, title: Kishangarh and Kangra: A Comparative Study of Indian Miniature Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/naveen-soni, title: Discover the Divine Art of Pichwai by Master Artist Naveen Soni})"
"(:Blog {path: /blogs/posts/a-brief-history-of-kishangarh-school-of-miniature-paintings, title: A Brief History of Kishangarh School of Miniature Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/naveen-soni, title: Discover the Divine Art of Pichwai by Master Artist Naveen Soni})"
"(:Blog {path: /blogs/posts/nathdwara-the-city-of-lord-krishna, title: Nathdwara: The City of Lord Krishna})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/naveen-soni, title: Discover the Divine Art of Pichwai by Master Artist Naveen Soni})"
"(:Blog {path: /blogs/posts/aipan-art-the-uttaranchal-legacy, title: Aipan Art: A Treasured Legacy of Uttarakhand})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/mithila-painting, title: Mithila Painting})"
"(:Blog {path: /blogs/posts/themes-and-symbolism-in-kalamkari-art-a-cultural-and-historical-perspective, title: Themes and Symbolism in Kalamkari Art: A Cultural and Historical Perspective})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/mithila-painting, title: Mithila Painting})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/mithila-painting, title: Mithila Painting})"
"(:Blog {path: /blogs/posts/the-pioneering-women-artists-of-bhil-art, title: The Pioneering Women of Bhil Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/mithila-painting, title: Mithila Painting})"
"(:Blog {path: /blogs/posts/madhubani-paintings-an-enduring-legacy-of-mithila, title: MADHUBANI PAINTINGS: AN ENDURING LEGACY OF MITHILA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/sikki-grass-art, title: Sikki Grass Art})"
"(:Blog {path: /blogs/posts/floor-paintings-of-india, title: FLOOR PAINTINGS OF INDIA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/aipan, title: Aipan})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/aipan, title: Aipan})"
"(:Blog {path: /blogs/posts/budh-purnima-celebrating-the-enlightened-one, title: Budh Purnima: Celebrating the Enlightened One})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/aipan, title: Aipan})"
"(:Blog {path: /blogs/posts/doorways-to-culture-art-and-symbolism-of-doors-windows-and-jharokhas-in-india, title: Doorways to culture: Art and symbolism of Doors, Windows, and Jharokhas in India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/aipan, title: Aipan})"
"(:Blog {path: /blogs/posts/block-printing-the-rarity-of-fabrics-made-by-hand, title: Block Printing: The Rarity of Fabrics Made by Hand})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/design-id-2026, title: Design ID 2026})"
"(:Blog {path: /blogs/posts/guide-to-making-a-kavad, title: A Step-by-Step Guide to Making a Kavad})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/design-id-2026, title: Design ID 2026})"
"(:Blog {path: /blogs/posts/indian-blue-pottery, title: Indian Blue Pottery})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/design-id-2026, title: Design ID 2026})"
"(:Blog {path: /blogs/posts/rural-women-guardians-of-artistic-legacy, title: Women From Rural India: Guardians of Artistic Legacy})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/gareeba-singh-tekam, title: Gareeba Singh Tekam})"
"(:Blog {path: /blogs/posts/warli-mythopoeia-the-role-of-animism-in-india, title: Warli Mythopoeia: The Role of Animism in India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/talapatra, title: Talapatra})"
"(:Blog {path: /blogs/posts/the-life-stories-of-mahavira, title: The Life Stories of Mahavira})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/dolon-kundu, title: Terracotta Masterpieces by Dolon Kundu – A Legacy of Clay and Culture})"
"(:Blog {path: /blogs/posts/arts-and-crafts-of-gujarat, title: Arts and Crafts of Gujarat})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/dinesh-molela, title: Dinesh Molela})"
"(:Blog {path: /blogs/posts/a-list-of-materials-used-in-lippan-kaam, title: The Ingredients Behind Lippan Kaam})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/jijulal, title: V.M Jijulal})"
"(:Blog {path: /blogs/posts/the-legend-of-bani-thani, title: The Legend of Bani Thani})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kishangarh-art, title: Kishangarh Art})"
"(:Blog {path: /blogs/posts/the-pioneering-women-artists-of-bhil-art, title: The Pioneering Women of Bhil Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kalam-sacred-lines-shared-stories, title: Kalam: Sacred Lines, Shared Stories})"
"(:Blog {path: /blogs/posts/thoughtful-diwali-gifts-for-2024-unique-ideas-to-brighten-your-festive-celebrations, title: Thoughtful Diwali Gifts for 2024: Unique Ideas to Brighten Your Festive Celebrations})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/diwali-home-decor, title: Diwali Decorations, Diyas, & Gifts Online (2025 Diwali Sale)})"
"(:Blog {path: /blogs/posts/diwali-with-a-twist-virtual-celebration-ideas, title: Diwali with a Twist: Virtual Celebration Ideas})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/diwali-home-decor, title: Diwali Decorations, Diyas, & Gifts Online (2025 Diwali Sale)})"
"(:Blog {path: /blogs/posts/weaves-of-india, title: Weaves of India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/saura-art, title: Saura Art})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/saura-art, title: Saura Art})"
"(:Blog {path: /blogs/posts/the-mud-work-of-kutch-lippan, title: The Mud Work of Kutch: Lippan Kaam})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/saura-art, title: Saura Art})"
"(:Blog {path: /blogs/posts/lord-ganesha-in-traditional-indian-art, title: Lord Ganesha in Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/exclusive-luxury-indian-art, title: Best Exclusive Artworks: Museum-Quality Indian Fine Art (₹80k+)})"
"(:Blog {path: /blogs/posts/ganesha, title: Lord Ganesha- The Lord of New Beginnings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/durga-paintings-collection, title: Durga Paintings collection})"
"(:Blog {path: /blogs/posts/the-city-of-barmer-all-you-need-to-know, title: The City of Barmer: All You Need To Know})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pithora, title: Pithora Art – Sacred Expressions from the Bhil & Rathwa Tribes})"
"(:Blog {path: /blogs/posts/kantha-the-embroidered-threads-of-bengal, title: Kantha – the embroidered threads of Bengal})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pithora, title: Pithora Art – Sacred Expressions from the Bhil & Rathwa Tribes})"
"(:Blog {path: /blogs/posts/bhil-art, title: Bhil Art- Uniqueness in Simplicity.})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pithora, title: Pithora Art – Sacred Expressions from the Bhil & Rathwa Tribes})"
"(:Blog {path: /blogs/posts/how-to-start-a-personal-collection-of-indian-folk-paintings, title: How to Start a Personal Collection of Indian Folk Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pithora, title: Pithora Art – Sacred Expressions from the Bhil & Rathwa Tribes})"
"(:Blog {path: /blogs/posts/aipan-art-the-uttaranchal-legacy, title: Aipan Art: A Treasured Legacy of Uttarakhand})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-assam, title: Handmade traditional art of Assam})"
"(:Blog {path: /blogs/posts/love-and-romance-in-indian-miniature-paintings, title: Love and Romance in Indian Miniature Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-assam, title: Handmade traditional art of Assam})"
"(:Blog {path: /blogs/posts/themes-and-symbolism-in-kalamkari-art-a-cultural-and-historical-perspective, title: Themes and Symbolism in Kalamkari Art: A Cultural and Historical Perspective})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-assam, title: Handmade traditional art of Assam})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/artwork-of-assam, title: Handmade traditional art of Assam})"
"(:Blog {path: /blogs/posts/storytelling-in-tribal-and-folk-art-forms, title: Storytelling in Tribal and Folk Art Forms})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-assam, title: Handmade traditional art of Assam})"
"(:Blog {path: /blogs/posts/decoding-the-hidden-symbolism-in-chamba-rumal-embroidery, title: Decoding the Hidden Symbolism in Chamba Rumal Embroidery})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-assam, title: Handmade traditional art of Assam})"
"(:Blog {path: /blogs/posts/the-art-of-stone-dust, title: The Art of Stone Dust})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/wood-inlay-work, title: Wood Inlay Work})"
"(:Blog {path: /blogs/posts/drawing-inspiration-from-tradition-sustainable-practices-in-indian-art, title: Drawing Inspiration from Tradition: Sustainable Practices in Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/wood-inlay-work, title: Wood Inlay Work})"
"(:Blog {path: /blogs/posts/diy-ganesh-chaturthi-gifts-crafting-heartfelt-blessings, title: DIY Ganesh Chaturthi Gifts: Crafting Heartfelt Blessings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/anil-wangad, title: Anil Wangad})"
"(:Blog {path: /blogs/posts/puppet-traditions-of-india, title: Puppet Traditions of India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kashmiri-art-a-legacy-of-elegance-tradition, title: Kashmiri Art: A Legacy of Elegance & Tradition})"
"(:Blog {path: /blogs/posts/storytelling-through-indian-tribal-and-folk-arts, title: Storytelling through Indian Tribal and Folk Arts})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/kashmiri-art-a-legacy-of-elegance-tradition, title: Kashmiri Art: A Legacy of Elegance & Tradition})"
"(:Blog {path: /blogs/posts/aipan-art-the-uttaranchal-legacy, title: Aipan Art: A Treasured Legacy of Uttarakhand})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kashmiri-art-a-legacy-of-elegance-tradition, title: Kashmiri Art: A Legacy of Elegance & Tradition})"
"(:Blog {path: /blogs/posts/themes-and-symbolism-in-kalamkari-art-a-cultural-and-historical-perspective, title: Themes and Symbolism in Kalamkari Art: A Cultural and Historical Perspective})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/kashmiri-art-a-legacy-of-elegance-tradition, title: Kashmiri Art: A Legacy of Elegance & Tradition})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kashmiri-art-a-legacy-of-elegance-tradition, title: Kashmiri Art: A Legacy of Elegance & Tradition})"
"(:Blog {path: /blogs/posts/storytelling-in-tribal-and-folk-art-forms, title: Storytelling in Tribal and Folk Art Forms})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/kashmiri-art-a-legacy-of-elegance-tradition, title: Kashmiri Art: A Legacy of Elegance & Tradition})"
"(:Blog {path: /blogs/posts/decoding-the-hidden-symbolism-in-chamba-rumal-embroidery, title: Decoding the Hidden Symbolism in Chamba Rumal Embroidery})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kashmiri-art-a-legacy-of-elegance-tradition, title: Kashmiri Art: A Legacy of Elegance & Tradition})"
"(:Blog {path: /blogs/posts/block-printing-the-rarity-of-fabrics-made-by-hand, title: Block Printing: The Rarity of Fabrics Made by Hand})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/mahamaya-sikdar, title: Mahamaya Sikdar})"
"(:Blog {path: /blogs/posts/human-animal-hybrids-as-a-motif-in-indian-folklores, title: Human-Animal Hybrids as a Motif in Indian Folklores})",[:RELATED_COLLECTION {overlap: 7}],"(:Collection {path: /collections/mahamaya-sikdar, title: Mahamaya Sikdar})"
"(:Blog {path: /blogs/posts/patangarh-unveiling-the-riches-of-a-timeless-village, title: Patangarh: Unveiling the Riches of a Timeless Village})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/mahamaya-sikdar, title: Mahamaya Sikdar})"
"(:Blog {path: /blogs/posts/exploring-the-different-styles-of-kalamkari-art, title: Exploring the Different Styles of Kalamkari Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/nirmal-toys, title: Nirmal toys})"
"(:Blog {path: /blogs/posts/the-pioneering-women-artists-of-bhil-art, title: The Pioneering Women of Bhil Art})",[:RELATED_COLLECTION {overlap: 7}],"(:Collection {path: /collections/nirmal-toys, title: Nirmal toys})"
"(:Blog {path: /blogs/posts/kavands-exploring-the-siddi-traditional-craft, title: Kavands: Exploring the Siddi Traditional Craft})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/nirmal-toys, title: Nirmal toys})"
"(:Blog {path: /blogs/posts/the-process-of-kalamkari-explained, title: The Process of Kalamkari Explained})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-sikkim, title: Art of Sikkim})"
"(:Blog {path: /blogs/posts/famous-kalamkari-paintings-and-artists, title: Famous Kalamkari Paintings and Artists})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-sikkim, title: Art of Sikkim})"
"(:Blog {path: /blogs/posts/machilipatnam-kalamkari-the-timeless-art-of-block-printing, title: Machilipatnam Kalamkari: The Timeless Art of Block Printing})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/artwork-of-sikkim, title: Art of Sikkim})"
"(:Blog {path: /blogs/posts/themes-and-symbolism-in-kalamkari-art-a-cultural-and-historical-perspective, title: Themes and Symbolism in Kalamkari Art: A Cultural and Historical Perspective})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-sikkim, title: Art of Sikkim})"
"(:Blog {path: /blogs/posts/kalamkari-craftsmanship-with-bamboo-pens, title: Kalamkari, craftsmanship with bamboo pens})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-sikkim, title: Art of Sikkim})"
"(:Blog {path: /blogs/posts/the-city-of-barmer-all-you-need-to-know, title: The City of Barmer: All You Need To Know})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/krishna-tashi-palmo, title: Krishna Tashi Palmo})"
"(:Blog {path: /blogs/posts/floor-paintings-of-india, title: FLOOR PAINTINGS OF INDIA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/krishna-tashi-palmo, title: Krishna Tashi Palmo})"
"(:Blog {path: /blogs/posts/the-moonscape-of-kishangarh, title: The Moonscape of Kishangarh})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/contact-us, title: Contact Us})"
"(:Blog {path: /blogs/posts/who-are-the-bhils, title: Who are the Bhils?})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/contact-us, title: Contact Us})"
"(:Blog {path: /blogs/posts/block-printing-and-resist-dyeing-traditions-of-india, title: Block Printing and Resist Dyeing Traditions of India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/contact-us, title: Contact Us})"
"(:Blog {path: /blogs/posts/difference-between-folk-art-and-tribal-art-a-clear-visual-guide, title: Difference Between Folk Art and Tribal Art: A Clear Visual Guide})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/contact-us, title: Contact Us})"
"(:Blog {path: /blogs/posts/study-of-sohrai-and-kohvar-art-of-jharkhand-india-in-comparison-with-dogon-rock-paintings-of-mali-africa, title: Study of Sohrai and Kohvar art of Jharkhand, India in comparison with Dogon rock paintings of Mali, Africa})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /pages/contact-us, title: Contact Us})"
"(:Blog {path: /blogs/posts/mughal-miniatures, title: Mughal Miniatures})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /pages/contact-us, title: Contact Us})"
"(:Blog {path: /blogs/posts/lord-ganesha-in-traditional-indian-art, title: Lord Ganesha in Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/contact-us, title: Contact Us})"
"(:Blog {path: /blogs/posts/the-currency-of-craft-how-handicrafts-survive-capitalism, title: The Currency of Craft: How Handicrafts Survive Capitalism})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /pages/contact-us, title: Contact Us})"
"(:Blog {path: /blogs/posts/gustav-klimt-and-the-echoes-of-indian-folk-tribal-arts-a-dialogue-across-time, title: Gustav Klimt and the Echoes of Indian Folk & Tribal Arts: A Dialogue Across Time})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/contact-us, title: Contact Us})"
"(:Blog {path: /blogs/art-guides/how-to-pick-your-first-traditional-indian-artwork, title: How to Pick Your First Traditional Indian Artwork})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/contact-us, title: Contact Us})"
"(:Blog {path: /blogs/art-guides/step-by-step-guide-to-shopping-from-memeraki, title: Step-by-Step Guide to Shopping from Memeraki})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/contact-us, title: Contact Us})"
"(:Blog {path: /blogs/posts/why-imperfection-is-important-in-folk-art, title: Why Imperfection is Important in Folk Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/contact-us, title: Contact Us})"
"(:Blog {path: /blogs/posts/how-to-start-a-personal-collection-of-indian-folk-paintings, title: How to Start a Personal Collection of Indian Folk Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/contact-us, title: Contact Us})"
"(:Blog {path: /blogs/posts/reflections-of-the-self-what-your-favorite-indian-art-style-reveals-about-you, title: Reflections of the Self: What Your Favorite Indian Art Style Reveals About You})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/contact-us, title: Contact Us})"
"(:Blog {path: /blogs/posts/pichwai-as-a-timeless-investment-the-art-collectors-guide, title: Pichwai as a Timeless Investment–The Art Collectors’ Guide})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/artwork-of-kerala, title: Kerala, rich heritage of arts and crafts})"
"(:Blog {path: /blogs/posts/the-evolution-of-thanjavur-paintings-a-cultural-synthesis-of-indian-art-and-heritage, title: The Evolution of Thanjavur Paintings: Unraveling the Influences that Shaped Them})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/artwork-of-kerala, title: Kerala, rich heritage of arts and crafts})"
"(:Blog {path: /blogs/posts/the-art-of-home-decor-why-you-should-embrace-pichwai-art, title: The Art of Home Decor: Why you should embrace Pichwai Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-kerala, title: Kerala, rich heritage of arts and crafts})"
"(:Blog {path: /blogs/posts/exploring-pichwai-art-a-traditional-artistic-legacy-of-rajasthan, title: Exploring Pichwai Art : A Traditional Artistic Legacy of Rajasthan})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/artwork-of-kerala, title: Kerala, rich heritage of arts and crafts})"
"(:Blog {path: /blogs/art-guides/how-to-pick-your-first-traditional-indian-artwork, title: How to Pick Your First Traditional Indian Artwork})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-kerala, title: Kerala, rich heritage of arts and crafts})"
"(:Blog {path: /blogs/posts/tholu-bommalata-the-puppeteers-of-andhra-pradesh, title: Tholu Bommalata - The Puppeteers of Andhra Pradesh})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/buddha-paintings, title: Buddha Paintings})"
"(:Blog {path: /blogs/posts/rural-women-guardians-of-artistic-legacy, title: Women From Rural India: Guardians of Artistic Legacy})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kantha-embroidery, title: Kantha Embroidery})"
"(:Blog {path: /blogs/posts/bridal-jewelry-across-india-a-legacy-of-craft-culture-and-captivating-history, title: Bridal Jewelry Across India: A Legacy of Craft, Culture, and Captivating History})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/black, title: Black Art Paintings for Wall – Handcrafted Indian Folk Art})"
"(:Blog {path: /blogs/posts/block-printing-the-rarity-of-fabrics-made-by-hand, title: Block Printing: The Rarity of Fabrics Made by Hand})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/jayesh-sharma, title: Jayesh Sharma})"
"(:Blog {path: /blogs/posts/pichwai-as-a-timeless-investment-the-art-collectors-guide, title: Pichwai as a Timeless Investment–The Art Collectors’ Guide})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/jayesh-sharma, title: Jayesh Sharma})"
"(:Blog {path: /blogs/posts/the-ritual-art-of-pithora-wall-paintings, title: The Ritual Art Of Pithora Wall Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/jayesh-sharma, title: Jayesh Sharma})"
"(:Blog {path: /blogs/posts/molela-terracotta-craft, title: Molela Terracotta: A Rajasthani Craft})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/jayesh-sharma, title: Jayesh Sharma})"
"(:Blog {path: /blogs/posts/bhil-art, title: Bhil Art- Uniqueness in Simplicity.})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/jayesh-sharma, title: Jayesh Sharma})"
"(:Blog {path: /blogs/posts/nathdwara-the-city-of-lord-krishna, title: Nathdwara: The City of Lord Krishna})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/jayesh-sharma, title: Jayesh Sharma})"
"(:Blog {path: /blogs/posts/seeking-meanings-reading-symbolic-motifs-in-mandana, title: Seeking Meanings: Reading Symbolic Motifs in Mandana})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/jayesh-sharma, title: Jayesh Sharma})"
"(:Blog {path: /blogs/posts/patangarh-unveiling-the-riches-of-a-timeless-village, title: Patangarh: Unveiling the Riches of a Timeless Village})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/jayesh-sharma, title: Jayesh Sharma})"
"(:Blog {path: /blogs/posts/exploring-pichwai-art-a-traditional-artistic-legacy-of-rajasthan, title: Exploring Pichwai Art : A Traditional Artistic Legacy of Rajasthan})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/jayesh-sharma, title: Jayesh Sharma})"
"(:Blog {path: /blogs/posts/the-role-of-clay-in-preserving-adivasi-heritage, title: The Role of Clay Art in Preserving India's Intangible Adivasi Heritage})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/jayesh-sharma, title: Jayesh Sharma})"
